CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesa
42465310000121.0;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;292907.23
42465310000121.0;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;0.0
42465310000121.0;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;199868.05
42465310000121.0;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;199868.05
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;25535.0
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;124677.97
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;124876.67
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
93507895000136.0;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;-198.7
5868278000107.0;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;1;2025;7749710.64
5868278000107.0;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;1;2025;7749710.64
5868278000107.0;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;1;2025;242.31
5868278000107.0;UNIMED DE FORTALEZA SOCIEDADE COOPERATIVA MÉDICA LTDA.;1;2025;242.31
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;1105380.63
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;0.0
71499792000139.0;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;6196.96
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;9578642.82
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;10087318.51
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;6720140.76
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;6720140.76
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;54581.8
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;365647.93
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;31843.31
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;350616.54
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;7955.63
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;632005.95
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;485188.89
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1213976.68
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;91245.97
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1390754.74
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;28772.22
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;2450522.86
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;85633.24
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;600201.6
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1417.88
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;690383.39
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;0.3
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;208259.66
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1494.04
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;468.51
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;2220.16
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1500634.49
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1339249.2
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;4761.19
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;638.42
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1168.75
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;4919584.58
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;6109593.74
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;1423.12
85246916000189.0;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;397666.29
78339439000130.0;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;1;2025;76263.74
78339439000130.0;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;1;2025;1885260.08
78339439000130.0;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;1;2025;34475.32
78339439000130.0;UNIMED DO ESTADO DO PARANÁ FEDERAÇÃO ESTADUAL DAS COOPERATIVAS MÉDICAS;1;2025;61543.54
