RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
BRADESCO SAÚDE S.A.;RJ;322971284920.3;1368522393.73;3765079539.19
AMIL ASSISTÊNCIA MÉDICA INTERNACIONAL S.A.;SP;196991269322.51;511665634.6;1783955720.52
NOTRE DAME INTERMÉDICA SAÚDE S.A.;SP;90007168168.94;303054438.28;905540063.0
HAPVIDA ASSISTENCIA MEDICA S.A.;CE;88242948930.23;199644680.84;757176010.91
CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL;DF;68076762885.3;412586441.73;1126223098.26
UNIMED BELO HORIZONTE COOPERATIVA DE TRABALHO MÉDICO;MG;49310887312.97;107197581.12;400843370.34
UNIMED DO EST. DO RJ FEDERAÇÃO EST. DAS COOPERATIVAS MÉDICAS;RJ;43900387878.23;327614834.91;644104993.21
UNIMED DE CIANORTE - COOPERATIVA DE TRABALHO MEDICO ;PR;43199618804.05;254115404.73;1880393394.07
UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.;RS;32668686237.02;84853730.49;299145450.34
UNIMED CURITIBA - SOCIEDADE COOPERATIVA DE MÉDICOS;PR;29647894428.49;79913462.07;266210437.17
UNIMED CAMPINAS - COOPERATIVA DE TRABALHO MÉDICO;SP;26330548887.79;66659617.44;257405652.77
OMINT SERVIÇOS DE SAÚDE S.A.;SP;19643258616.58;108526290.7;304114287.85
FUNDAÇÃO SAÚDE ITAÚ;MG;19342933329.9;169674853.77;320080545.8
GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA;RJ;18540871641.47;90443276.3;246601679.23
SERV  SOCIAL AUTÔNOMO DE ASSIST À SAÚDE DOS SERV PÚBLICOS E MILITARES DE GOIÁS;GO;18050303438.42;176963759.2;433359414.4
UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO;ES;16618808578.38;50513095.98;161791019.61
UNIMED FRANCISCO BELTRAO COOPERATIVA DE TRABALHO MEDICO;PR;16004824813.07;83794894.31;687589829.05
FUNDAÇÃO CESP;SP;13752425306.32;99655255.84;233762691.49
UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO;PE;13454577761.09;83052949.14;180757979.23
SAMEDIL SERVIÇOS DE ATENDIMENTO MÉDICO S/A;ES;12870264538.19;117002404.89;211316767.09
UNIMED GRANDE FLORIANÓPOLIS-COOPERATIVA DE TRABALHO MEDICO;SC;11945382972.64;27025753.33;89363472.1
UNIMED DO ESTADO DE SÃO PAULO - FEDERAÇÃO ESTADUAL DAS COOP. MÉDICAS;SP;11894187181.09;56909986.51;154557117.74
UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO;SP;11473827252.2;40400800.18;120865826.95
